customer_id,bank_assigned_risk_rating,composite_risk_score,flag_structuring,flag_rapid_movement,flag_round_dollar,flag_high_risk_country,flag_watchlist_match,flag_dormant_reactivation
CUST0091,Low,35,N,N,N,Y,N,Y
CUST0092,Medium,0,N,N,N,N,N,N
CUST0093,Low,0,N,N,N,N,N,N
CUST0094,Medium,0,N,N,N,N,N,N
CUST0095,Medium,0,N,N,N,N,N,N
CUST0096,Low,15,N,N,Y,N,N,N
CUST0097,Low,0,N,N,N,N,N,N
CUST0098,Medium,0,N,N,N,N,N,N
CUST0099,Low,0,N,N,N,N,N,N
CUST0100,Low,0,N,N,N,N,N,N
CUST0101,Medium,35,N,N,N,Y,N,Y
CUST0102,Low,0,N,N,N,N,N,N
CUST0103,Low,0,N,N,N,N,N,N
CUST0104,Low,0,N,N,N,N,N,N
CUST0105,Medium,0,N,N,N,N,N,N
CUST0106,Low,0,N,N,N,N,N,N
CUST0107,Low,0,N,N,N,N,N,N
CUST0108,Low,0,N,N,N,N,N,N
CUST0109,Low,0,N,N,N,N,N,N
CUST0110,Low,35,N,N,N,Y,N,Y
CUST0111,Low,0,N,N,N,N,N,N
CUST0112,Low,0,N,N,N,N,N,N
CUST0113,Medium,0,N,N,N,N,N,N
CUST0114,Low,0,N,N,N,N,N,N
CUST0115,Low,0,N,N,N,N,N,N
CUST0116,Low,0,N,N,N,N,N,N
CUST0117,Medium,0,N,N,N,N,N,N
CUST0118,Low,0,N,N,N,N,N,N
CUST0119,Medium,35,N,N,N,Y,N,Y
CUST0120,Low,0,N,N,N,N,N,N
CUST0121,Low,0,N,N,N,N,N,N
CUST0122,Low,0,N,N,N,N,N,N
CUST0123,Low,0,N,N,N,N,N,N
CUST0124,Low,15,N,N,Y,N,N,N
CUST0125,Low,0,N,N,N,N,N,N
CUST0126,Low,0,N,N,N,N,N,N
CUST0127,Low,0,N,N,N,N,N,N
CUST0128,Low,0,N,N,N,N,N,N
CUST0129,Medium,0,N,N,N,N,N,N
CUST0130,Low,15,N,N,Y,N,N,N
CUST0131,Low,0,N,N,N,N,N,N
CUST0132,Medium,35,N,N,N,Y,N,Y
CUST0133,Low,15,N,N,N,N,N,Y
CUST0134,Low,0,N,N,N,N,N,N
CUST0135,Low,0,N,N,N,N,N,N
CUST0136,Low,0,N,N,N,N,N,N
CUST0137,Medium,0,N,N,N,N,N,N
CUST0138,Medium,0,N,N,N,N,N,N
CUST0139,Low,35,N,N,N,Y,N,Y
CUST0140,Medium,0,N,N,N,N,N,N
CUST0141,Medium,15,N,N,N,N,N,Y
CUST0142,Low,0,N,N,N,N,N,N
CUST0143,Medium,0,N,N,N,N,N,N
CUST0144,Low,0,N,N,N,N,N,N
CUST0145,Medium,0,N,N,N,N,N,N
CUST0146,Medium,0,N,N,N,N,N,N
CUST0147,Low,15,N,N,N,N,N,Y
CUST0148,Low,0,N,N,N,N,N,N
CUST0149,Low,0,N,N,N,N,N,N
CUST0150,Low,0,N,N,N,N,N,N
CUST0151,Medium,0,N,N,N,N,N,N
CUST0152,Medium,0,N,N,N,N,N,N
CUST0153,Low,0,N,N,N,N,N,N
CUST0154,Low,0,N,N,N,N,N,N
CUST0155,Low,0,N,N,N,N,N,N
CUST0156,Low,0,N,N,N,N,N,N
CUST0157,Low,0,N,N,N,N,N,N
CUST0158,Low,0,N,N,N,N,N,N
CUST0159,Medium,0,N,N,N,N,N,N
CUST0160,Low,0,N,N,N,N,N,N
CUST0161,Low,0,N,N,N,N,N,N
CUST0162,Low,0,N,N,N,N,N,N
CUST0163,Low,0,N,N,N,N,N,N
CUST0164,Medium,0,N,N,N,N,N,N
CUST0165,Medium,0,N,N,N,N,N,N
CUST0166,Low,0,N,N,N,N,N,N
CUST0167,Low,0,N,N,N,N,N,N
CUST0168,Low,0,N,N,N,N,N,N
CUST0169,Low,0,N,N,N,N,N,N
CUST0170,Low,15,N,N,Y,N,N,N
CUST0171,Low,0,N,N,N,N,N,N
CUST0172,Low,15,N,N,N,N,N,Y
CUST0173,Low,0,N,N,N,N,N,N
CUST0174,Low,0,N,N,N,N,N,N
CUST0175,Medium,0,N,N,N,N,N,N
CUST0176,Low,0,N,N,N,N,N,N
CUST0177,Low,0,N,N,N,N,N,N
CUST0178,Low,35,N,N,N,Y,N,Y
CUST0179,Medium,0,N,N,N,N,N,N
CUST0180,Low,0,N,N,N,N,N,N
CUST0181,Low,0,N,N,N,N,N,N
CUST0182,Medium,0,N,N,N,N,N,N
CUST0183,Low,0,N,N,N,N,N,N
CUST0184,Low,0,N,N,N,N,N,N
CUST0185,Low,0,N,N,N,N,N,N
CUST0186,Low,0,N,N,N,N,N,N
CUST0187,Low,0,N,N,N,N,N,N
CUST0188,Low,0,N,N,N,N,N,N
CUST0189,Low,0,N,N,N,N,N,N
CUST0190,Medium,0,N,N,N,N,N,N
CUST0191,Low,15,N,N,Y,N,N,N
CUST0192,Low,0,N,N,N,N,N,N
CUST0193,Low,0,N,N,N,N,N,N
CUST0194,Low,0,N,N,N,N,N,N
CUST0195,Low,0,N,N,N,N,N,N
CUST0196,Low,0,N,N,N,N,N,N
CUST0197,Low,0,N,N,N,N,N,N
CUST0198,Low,35,N,N,N,Y,N,Y
CUST0199,Low,0,N,N,N,N,N,N
CUST0200,Low,0,N,N,N,N,N,N
