account_id,customer_id,account_type,open_date,status,branch_country
ACCT00093,CUST0053,Savings,2023-05-12,Active,Switzerland
ACCT00094,CUST0053,Checking,2019-12-01,Closed,Switzerland
ACCT00095,CUST0054,Savings,2023-02-02,Active,UAE
ACCT00096,CUST0055,Savings,2024-09-10,Active,United Kingdom
ACCT00097,CUST0055,Checking,2025-04-01,Active,United Kingdom
ACCT00098,CUST0056,Checking,2024-01-14,Active,United Kingdom
ACCT00099,CUST0057,Business,2022-06-25,Active,India
ACCT00100,CUST0057,Checking,2022-06-28,Active,India
ACCT00101,CUST0057,Savings,2020-06-11,Active,India
ACCT00102,CUST0058,Checking,2021-12-15,Active,Switzerland
ACCT00103,CUST0059,Savings,2020-11-12,Active,Switzerland
ACCT00104,CUST0060,Checking,2016-12-20,Active,United Kingdom
ACCT00105,CUST0060,Checking,2016-04-17,Active,United Kingdom
ACCT00106,CUST0061,Savings,2024-08-17,Active,Australia
ACCT00107,CUST0061,Checking,2022-09-27,Active,Australia
ACCT00108,CUST0061,Business,2024-07-29,Active,Australia
ACCT00109,CUST0062,Business,2025-05-28,Active,Germany
ACCT00110,CUST0063,Business,2019-07-04,Active,Ireland
ACCT00111,CUST0064,Business,2024-01-06,Active,Netherlands
ACCT00112,CUST0065,Business,2023-03-09,Active,Switzerland
ACCT00113,CUST0066,Business,2024-09-15,Active,Germany
ACCT00114,CUST0066,Checking,2023-07-04,Active,Germany
ACCT00115,CUST0067,Checking,2025-05-30,Active,France
ACCT00116,CUST0068,Checking,2024-04-03,Active,Ireland
ACCT00117,CUST0069,Savings,2022-08-19,Active,Singapore
ACCT00118,CUST0070,Savings,2020-02-18,Active,Switzerland
ACCT00119,CUST0070,Business,2024-02-12,Active,Switzerland
ACCT00120,CUST0071,Checking,2020-07-01,Active,Ireland
ACCT00121,CUST0072,Business,2022-11-04,Dormant,Spain
ACCT00122,CUST0073,Business,2024-11-15,Active,India
ACCT00123,CUST0073,Checking,2025-05-08,Active,India
ACCT00124,CUST0074,Checking,2021-12-10,Active,Germany
ACCT00125,CUST0074,Savings,2025-04-11,Active,Germany
ACCT00126,CUST0075,Checking,2025-01-06,Active,Spain
ACCT00127,CUST0075,Business,2025-03-22,Active,Spain
ACCT00128,CUST0075,Savings,2024-10-10,Active,Spain
ACCT00129,CUST0076,Savings,2024-09-08,Active,Netherlands
ACCT00130,CUST0077,Business,2022-05-24,Active,UAE
ACCT00131,CUST0077,Checking,2024-08-16,Closed,UAE
ACCT00132,CUST0077,Checking,2024-07-15,Dormant,UAE
ACCT00133,CUST0078,Business,2021-03-17,Active,France
ACCT00134,CUST0079,Savings,2018-08-18,Active,Canada
ACCT00135,CUST0080,Business,2024-09-06,Active,Canada
ACCT00136,CUST0081,Savings,2023-05-02,Active,Japan
ACCT00137,CUST0082,Checking,2024-10-16,Active,Spain
ACCT00138,CUST0082,Business,2025-03-08,Active,Spain
ACCT00139,CUST0083,Checking,2021-07-18,Active,India
ACCT00140,CUST0084,Checking,2019-04-09,Active,UAE
ACCT00141,CUST0084,Savings,2022-07-06,Dormant,UAE
ACCT00142,CUST0085,Business,2020-06-02,Active,Japan
ACCT00143,CUST0085,Savings,2019-10-18,Active,Japan
ACCT00144,CUST0086,Checking,2024-06-22,Active,Singapore
ACCT00145,CUST0087,Savings,2025-05-24,Closed,Canada
ACCT00146,CUST0087,Checking,2022-07-03,Active,Canada
ACCT00147,CUST0088,Checking,2023-02-09,Active,Japan
ACCT00148,CUST0089,Business,2024-11-19,Dormant,Japan
ACCT00149,CUST0090,Checking,2021-11-04,Active,UAE
ACCT00150,CUST0090,Checking,2021-09-19,Active,UAE
ACCT00151,CUST0091,Checking,2022-02-14,Active,Germany
ACCT00152,CUST0091,Savings,2022-07-09,Dormant,Germany
ACCT00153,CUST0092,Business,2024-09-24,Active,India
ACCT00154,CUST0093,Savings,2024-02-17,Dormant,United Kingdom
ACCT00155,CUST0094,Checking,2021-09-02,Active,Netherlands
ACCT00156,CUST0095,Savings,2021-06-10,Active,Canada
ACCT00157,CUST0095,Business,2017-09-12,Active,Canada
ACCT00158,CUST0095,Business,2021-05-27,Closed,Canada
ACCT00159,CUST0096,Savings,2018-12-14,Active,Ireland
ACCT00160,CUST0096,Checking,2019-02-08,Active,Ireland
ACCT00161,CUST0096,Savings,2021-04-24,Active,Ireland
ACCT00162,CUST0097,Checking,2021-04-17,Active,Canada
ACCT00163,CUST0098,Business,2024-08-21,Active,Switzerland
ACCT00164,CUST0098,Business,2024-02-13,Active,Switzerland
ACCT00165,CUST0099,Checking,2023-07-10,Active,UAE
ACCT00166,CUST0099,Checking,2023-08-05,Active,UAE
ACCT00167,CUST0100,Checking,2019-02-24,Active,Netherlands
ACCT00168,CUST0101,Checking,2023-09-29,Dormant,India
ACCT00169,CUST0102,Business,2024-01-09,Active,United States
ACCT00170,CUST0103,Savings,2022-01-13,Active,Ireland
ACCT00171,CUST0104,Checking,2024-06-22,Active,Canada
ACCT00172,CUST0104,Business,2024-07-29,Active,Canada
ACCT00173,CUST0105,Checking,2025-02-17,Active,Ireland
ACCT00174,CUST0105,Business,2023-08-07,Active,Ireland
ACCT00175,CUST0106,Business,2023-02-28,Active,Canada
ACCT00176,CUST0106,Savings,2023-12-17,Active,Canada
ACCT00177,CUST0107,Checking,2022-10-24,Active,Australia
ACCT00178,CUST0107,Checking,2025-04-03,Active,Australia
ACCT00179,CUST0107,Savings,2020-12-15,Active,Australia
ACCT00180,CUST0108,Business,2019-05-25,Closed,Australia
ACCT00181,CUST0108,Business,2022-06-25,Active,Australia
ACCT00182,CUST0108,Checking,2024-05-02,Active,Australia
ACCT00183,CUST0109,Business,2024-10-01,Active,UAE
ACCT00184,CUST0110,Business,2024-09-04,Active,Germany
ACCT00185,CUST0110,Checking,2024-03-20,Dormant,Germany
ACCT00186,CUST0111,Savings,2018-10-23,Active,Spain
ACCT00187,CUST0112,Business,2020-10-03,Active,France
ACCT00188,CUST0113,Savings,2023-07-29,Active,Singapore
ACCT00189,CUST0114,Business,2020-01-12,Active,Netherlands
ACCT00190,CUST0115,Savings,2025-04-28,Active,India
ACCT00191,CUST0115,Checking,2024-09-13,Closed,India
ACCT00192,CUST0116,Checking,2024-12-02,Active,Canada
ACCT00193,CUST0117,Business,2025-05-02,Active,Canada
ACCT00194,CUST0117,Checking,2025-03-15,Closed,Canada
ACCT00195,CUST0118,Business,2022-12-29,Closed,Ireland
ACCT00196,CUST0119,Checking,2018-12-02,Dormant,Spain
ACCT00197,CUST0120,Savings,2025-01-28,Closed,Canada
ACCT00198,CUST0121,Savings,2024-12-18,Active,United Kingdom
ACCT00199,CUST0122,Business,2020-03-24,Active,India
ACCT00200,CUST0122,Business,2023-06-23,Active,India
ACCT00201,CUST0122,Business,2023-08-19,Active,India
ACCT00202,CUST0123,Business,2017-11-03,Active,UAE
ACCT00203,CUST0124,Checking,2020-06-22,Dormant,Netherlands
ACCT00204,CUST0124,Business,2024-11-24,Active,Netherlands
ACCT00205,CUST0125,Checking,2024-09-05,Closed,Switzerland
ACCT00206,CUST0126,Checking,2023-07-09,Active,United Kingdom
ACCT00207,CUST0126,Checking,2023-07-07,Active,United Kingdom
ACCT00208,CUST0127,Savings,2023-09-19,Active,Canada
ACCT00209,CUST0128,Business,2023-12-09,Active,Singapore
ACCT00210,CUST0129,Business,2022-11-16,Active,Netherlands
ACCT00211,CUST0129,Savings,2017-12-22,Closed,Netherlands
ACCT00212,CUST0130,Business,2022-07-14,Active,Ireland
ACCT00213,CUST0130,Savings,2023-06-19,Active,Ireland
ACCT00214,CUST0130,Checking,2025-02-19,Active,Ireland
ACCT00215,CUST0131,Savings,2020-02-06,Active,Singapore
ACCT00216,CUST0131,Checking,2021-02-28,Active,Singapore
ACCT00217,CUST0132,Savings,2025-04-04,Active,Spain
ACCT00218,CUST0132,Savings,2024-06-09,Dormant,Spain
ACCT00219,CUST0132,Savings,2025-04-15,Active,Spain
ACCT00220,CUST0133,Savings,2022-07-01,Active,Australia
ACCT00221,CUST0133,Checking,2024-04-05,Dormant,Australia
ACCT00222,CUST0134,Business,2020-12-27,Active,Spain
ACCT00223,CUST0134,Savings,2024-05-08,Active,Spain
ACCT00224,CUST0135,Business,2022-04-07,Active,France
ACCT00225,CUST0136,Checking,2023-10-25,Active,Japan
ACCT00226,CUST0136,Checking,2023-11-19,Active,Japan
ACCT00227,CUST0136,Business,2021-01-29,Active,Japan
ACCT00228,CUST0137,Business,2021-04-15,Active,India
ACCT00229,CUST0137,Savings,2019-02-22,Active,India
ACCT00230,CUST0137,Checking,2021-09-02,Active,India
ACCT00231,CUST0138,Business,2018-08-21,Active,India
ACCT00232,CUST0139,Savings,2024-07-29,Dormant,France
ACCT00233,CUST0140,Business,2024-08-11,Closed,Switzerland
ACCT00234,CUST0140,Savings,2021-07-10,Closed,Switzerland
ACCT00235,CUST0141,Business,2022-08-11,Active,India
ACCT00236,CUST0141,Savings,2022-08-17,Dormant,India
ACCT00237,CUST0142,Checking,2023-12-07,Active,Singapore
ACCT00238,CUST0142,Savings,2022-09-04,Active,Singapore
ACCT00239,CUST0143,Savings,2021-04-01,Closed,Ireland
ACCT00240,CUST0144,Business,2024-06-11,Active,Switzerland
ACCT00241,CUST0144,Checking,2020-06-05,Active,Switzerland
ACCT00242,CUST0145,Business,2023-10-14,Active,Australia
ACCT00243,CUST0145,Savings,2024-12-25,Active,Australia
ACCT00244,CUST0146,Business,2025-03-27,Active,UAE
ACCT00245,CUST0146,Checking,2017-12-19,Active,UAE
ACCT00246,CUST0147,Checking,2024-03-29,Dormant,UAE
ACCT00247,CUST0148,Checking,2020-02-20,Active,United Kingdom
ACCT00248,CUST0148,Checking,2021-05-14,Dormant,United Kingdom
ACCT00249,CUST0149,Business,2023-09-15,Active,United States
ACCT00250,CUST0150,Savings,2023-11-04,Active,Australia
ACCT00251,CUST0151,Business,2019-08-16,Active,Spain
ACCT00252,CUST0151,Business,2020-12-24,Active,Spain
ACCT00253,CUST0152,Business,2024-08-07,Active,United States
ACCT00254,CUST0153,Savings,2022-01-22,Active,Ireland
ACCT00255,CUST0154,Savings,2019-02-24,Active,United States
ACCT00256,CUST0155,Business,2022-02-12,Active,United Kingdom
ACCT00257,CUST0155,Business,2023-05-28,Active,United Kingdom
ACCT00258,CUST0155,Savings,2023-02-09,Active,United Kingdom
ACCT00259,CUST0156,Business,2023-07-06,Active,Canada
ACCT00260,CUST0157,Checking,2020-10-15,Dormant,United Kingdom
ACCT00261,CUST0157,Checking,2024-04-11,Active,United Kingdom
ACCT00262,CUST0158,Checking,2021-06-04,Active,France
ACCT00263,CUST0158,Business,2020-03-02,Active,France
ACCT00264,CUST0158,Business,2017-02-23,Active,France
ACCT00265,CUST0159,Savings,2024-11-29,Active,France
ACCT00266,CUST0159,Savings,2024-09-17,Active,France
ACCT00267,CUST0159,Savings,2023-05-05,Active,France
ACCT00268,CUST0160,Business,2019-05-25,Active,Spain
ACCT00269,CUST0161,Business,2020-10-01,Active,Australia
ACCT00270,CUST0162,Checking,2022-06-27,Active,Ireland
ACCT00271,CUST0163,Checking,2022-05-18,Active,Germany
ACCT00272,CUST0163,Savings,2022-12-06,Active,Germany
ACCT00273,CUST0164,Business,2023-06-16,Active,Switzerland
ACCT00274,CUST0164,Checking,2022-01-18,Active,Switzerland
ACCT00275,CUST0165,Business,2022-03-16,Active,Australia
ACCT00276,CUST0166,Business,2019-10-30,Active,Germany
ACCT00277,CUST0167,Business,2024-10-20,Active,Spain
ACCT00278,CUST0168,Savings,2024-04-07,Active,United Kingdom
ACCT00279,CUST0169,Checking,2025-02-12,Active,Canada
ACCT00280,CUST0170,Checking,2023-08-01,Active,Australia
ACCT00281,CUST0171,Business,2023-03-16,Active,Switzerland
ACCT00282,CUST0171,Checking,2023-01-27,Active,Switzerland
ACCT00283,CUST0172,Checking,2023-07-11,Active,Germany
ACCT00284,CUST0172,Savings,2022-12-07,Dormant,Germany
ACCT00285,CUST0173,Savings,2024-08-16,Active,United Kingdom
ACCT00286,CUST0173,Business,2022-07-20,Active,United Kingdom
ACCT00287,CUST0173,Savings,2024-08-06,Active,United Kingdom
ACCT00288,CUST0174,Checking,2023-07-09,Active,United Kingdom
ACCT00289,CUST0174,Checking,2020-06-15,Active,United Kingdom
ACCT00290,CUST0175,Savings,2024-02-12,Active,Netherlands
ACCT00291,CUST0176,Business,2024-10-03,Active,France
ACCT00292,CUST0176,Savings,2024-03-19,Active,France
ACCT00293,CUST0177,Savings,2024-09-26,Active,Spain
ACCT00294,CUST0177,Savings,2025-05-06,Active,Spain
ACCT00295,CUST0178,Business,2017-12-15,Dormant,Australia
ACCT00296,CUST0178,Checking,2020-09-06,Active,Australia
ACCT00297,CUST0179,Business,2016-01-26,Active,Switzerland
ACCT00298,CUST0180,Savings,2020-12-29,Active,United Kingdom
ACCT00299,CUST0181,Business,2025-02-17,Active,Germany
ACCT00300,CUST0182,Savings,2021-10-10,Active,United Kingdom
ACCT00301,CUST0183,Business,2021-01-21,Active,United Kingdom
ACCT00302,CUST0184,Checking,2021-04-10,Active,United States
ACCT00303,CUST0185,Business,2023-11-17,Active,UAE
ACCT00304,CUST0185,Checking,2025-03-05,Active,UAE
ACCT00305,CUST0186,Checking,2023-08-08,Active,Canada
ACCT00306,CUST0186,Checking,2022-10-21,Active,Canada
ACCT00307,CUST0187,Savings,2023-08-21,Active,India
ACCT00308,CUST0188,Checking,2019-09-15,Active,Switzerland
ACCT00309,CUST0188,Business,2019-01-04,Active,Switzerland
ACCT00310,CUST0189,Checking,2023-05-29,Active,United Kingdom
ACCT00311,CUST0190,Checking,2023-08-25,Active,Singapore
ACCT00312,CUST0190,Business,2021-08-17,Active,Singapore
ACCT00313,CUST0191,Checking,2024-01-15,Active,Canada
ACCT00314,CUST0191,Business,2025-05-01,Active,Canada
ACCT00315,CUST0191,Checking,2025-02-27,Active,Canada
ACCT00316,CUST0192,Business,2024-07-07,Active,Japan
ACCT00317,CUST0193,Business,2025-01-06,Active,UAE
ACCT00318,CUST0194,Checking,2024-07-25,Active,Canada
ACCT00319,CUST0195,Business,2024-12-23,Active,Canada
ACCT00320,CUST0195,Business,2025-05-14,Active,Canada
ACCT00321,CUST0196,Business,2024-05-28,Closed,Singapore
ACCT00322,CUST0197,Business,2023-03-15,Active,Spain
ACCT00323,CUST0198,Checking,2021-02-22,Dormant,France
ACCT00324,CUST0198,Checking,2024-04-14,Active,France
ACCT00325,CUST0198,Business,2022-03-05,Active,France
ACCT00326,CUST0199,Business,2021-06-26,Active,Australia
ACCT00327,CUST0200,Business,2024-10-09,Active,Spain
ACCT00328,CUST0200,Business,2025-05-25,Active,Spain
ACCT00329,CUST0200,Checking,2024-12-31,Active,Spain
